codigoProducto,nombreProducto,tipoProducto,codigoEstablecimiento,nombreEstablecimiento,tipoEstablecimiento,disponible,fecha,periodicidad,nombreRegion,codigoRegion,nombreDistrito,codigoDistrito,codigoEstablecimientoSaa,tipoIngreso,fechaUltimoMovimiento,fechaDistribucion,mapa,id
"210","BICARBONATO DE SODIO","MEDICAMENTO","203","CENTRO DE EMERGENCIAS MEDICAS","HOSPITAL ESPECIALIZADO","SI","1445911209000","DIARIA","CAPITAL","18","ASUNCION","030","18030218","ADQUISICION","1445590640000","","false","11824813",
"210","BICARBONATO DE SODIO","MEDICAMENTO","507","HMI- SAN PABLO","HOSPITAL MATERNO INFANTIL","SI","1445911209000","DIARIA","CAPITAL","18","ASUNCION","030","18030204","ADQUISICION","1445499961300","1445601600090","false","11829801",
"210","BICARBONATO DE SODIO","MEDICAMENTO","203","CENTRO DE EMERGENCIAS MEDICAS","HOSPITAL ESPECIALIZADO","SI","1445911209000","DIARIA","CAPITAL","18","ASUNCION","030","18030218","DONACION","1445638170200","","false","11824814",
"967","ACEITE DE VASELINA","MEDICAMENTO","817","H.D. - TOBATI","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","TOBATI","018","03018209","ADQUISICION","","","false","11831824",
"967","ACEITE DE VASELINA","MEDICAMENTO","865","H.D. - EUSEBIO AYALA","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","EUSEBIO AYALA","007","03007203","ADQUISICION","1321432991600","","false","11832483",
"967","ACEITE DE VASELINA","MEDICAMENTO","673","INSTITUTO DE MEDICINA TROPICAL","HOSPITAL ESPECIALIZADO","SI","1445911209000","DIARIA","CAPITAL","18","ASUNCION","030","18030212","ADQUISICION","1439981990300","","false","11830625",
"967","ACEITE DE VASELINA","MEDICAMENTO","846","H.D.- YHU","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CAAGUAZU","05","YHU","011","05011208","ADQUISICION","1427844600348","","false","11832340",
"1945","SOLUCION RINGER CON LACTATO","MEDICAMENTO","817","H.D. - TOBATI","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","TOBATI","018","03018209","ADQUISICION","1445875591100","","false","11831825",
"1945","SOLUCION RINGER CON LACTATO","MEDICAMENTO","865","H.D. - EUSEBIO AYALA","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","EUSEBIO AYALA","007","03007203","ADQUISICION","1445862206500","","false","11832484",
"1945","SOLUCION RINGER CON LACTATO","MEDICAMENTO","392","H.R- CAACUPÉ","HOSPITAL REGIONAL","SI","1445911209000","DIARIA","CORDILLERA","03","CAACUPE","001","03001101","ADQUISICION","1445907071100","","false","11828068",
"1945","SOLUCION RINGER CON LACTATO","MEDICAMENTO","866","H.D. - ALTOS","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","ALTOS","002","03002211","ADQUISICION","1445584904100","","false","11832605",
"1945","SOLUCION RINGER CON LACTATO","MEDICAMENTO","1353","H.D. -  CURUGUATY","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CANINDEYU","14","VILLA SAN ISIDRO CURUGUATY","003","14003201","ADQUISICION","1445876371000","","false","11834623",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","418","H.D. - ALBERDI","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","ÑEEMBUCU","12","ALBERDI","002","12002227","DONACION","1441049077200","","false","11828979",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","983","H.D. SANTA ROSA","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","MISIONES","08","SANTA ROSA","007","08007203","DONACION","1445018302000","","false","11832913",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","817","H.D. - TOBATI","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CORDILLERA","03","TOBATI","018","03018209","DONACION","1445092287300","","false","11831826",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","985","H.D.- SAN IGNACIO","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","MISIONES","08","SAN IGNACIO","003","08003202","DONACION","1445505809000","","false","11833332",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","498","","","SI","1445911209000","DIARIA","","","PRESIDENTE FRANCO","","","DONACION","1443194531200","","false","11829507",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","1068","H.D. BELLA VISTA","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","AMAMBAY","13","BELLA VISTA","002","13002202","ADQUISICION","1443786294100","","false","11833538",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","823","ARROYOS Y ESTEROS","CENTRO DE SALUD","SI","1445911209000","DIARIA","CORDILLERA","03","ARROYOS Y ESTEROS","003","03003201","DONACION","1442560782000","","false","11831952",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","983","H.D. SANTA ROSA","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","MISIONES","08","SANTA ROSA","007","08007203","ADQUISICION","1441021224100","","false","11832912",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","844","H.D.-REPATRIACION","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","CAAGUAZU","05","REPATRIACION","007","05007206","ADQUISICION","","","false","11832067",
"2114","ACETATO DE MEDROXIPROGESTERONA","MEDICAMENTO","985","H.D.- SAN IGNACIO","HOSPITAL DISTRITAL","SI","1445911209000","DIARIA","MISIONES","08","SAN IGNACIO","003","08003202","ADQUISICION","1438674093400","","false","11833331",
