tipoProducto,codigoDncp,nombre,estado,codigo,mapa,clasificadorProducto,subclasificadorProducto,concentracion,formaFarmaceutica,presentacion,codigoGrupoFarmacologico,nombreGrupoFarmacologico,codigoSubgrupoFarmacologico,nombreSubgrupoFarmacologico,tipoAdquisicion,id
"MEDICAMENTO","51191602-003","BICARBONATO DE SODIO","HABILITADO","210","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","8.4 GR / 100 ML _","INYECTABLE","SACHET X 100 ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47089",
"MEDICAMENTO","","MEBENDAZOL","HABILITADO","930","false","","","100 MG/5ML __","SUSPENSION","FRASCO","","","","","DONACION","47090",
"MEDICAMENTO","51171630-002","ACEITE DE VASELINA","HABILITADO","967","false","DERMATOLOGICOS","MEDICAMENTO -EMOLIENTES Y PROTECTORES","CONCENTRACION ESTANDAR __","LIQUIDO","FRASCO X 1000 ML","D","DERMATOLOGICOS","2","MEDICAMENTO -EMOLIENTES Y PROTECTORES","LISTADO BASICO","47091",
"MEDICAMENTO","","DEXTROSA VITAMINADA","HABILITADO","1787","false","","","1000 MG + 250 MG / 5 ML _","SOLUCIÓN INYECTABLE","FRASCO AMPOLLA","","","","","DONACION","47092",
"MEDICAMENTO","","SOLUCION RINGER CON LACTATO","HABILITADO","1945","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","99 % _","UNIDAD","FRASCO 1000ML","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47093",
"MEDICAMENTO","","AMOXICILINA","DESHABILITADO","2111","false","","","1 GR _","COMPRIMIDO","BLISTER X 10","","","","","DONACION","47094",
"MEDICAMENTO","","ERITROMICINA","HABILITADO","2112","false","","","250 MG/5 ML __","SUSPENSION","FRASCO","","","","","DONACION","47095",
"MEDICAMENTO","51102322-001","ABACAVIR","HABILITADO","2113","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","300 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47096",
"MEDICAMENTO","51181827-001","ACETATO DE MEDROXIPROGESTERONA","HABILITADO","2114","false","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","MEDICAMENTO -HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL","150 MG __","INYECTABLE","FRASCO AMPOLLA","G","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","3","MEDICAMENTO -HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL","LISTADO BASICO","47097",
"MEDICAMENTO","51191703-001","ACETATO PARA HEMODIALISIS","HABILITADO","2115","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","CLORURO NA 205,218 G, ACETATO NA 107 G, CLORURO K  __","INYECTABLE","FRASCO","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47098",
"MEDICAMENTO","51141501-001","ACETAZOLAMIDA","HABILITADO","2116","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","250 MG __","COMPRIMIDO","UNIDAD","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47099",
"MEDICAMENTO","51102301-002","ACICLOVIR","HABILITADO","2117","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","400 MG/5ML __","LIQUIDO ORAL","FRASCO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47100",
"MEDICAMENTO","51102301-001","ACICLOVIR","HABILITADO","2118","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","400 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47101",
"MEDICAMENTO","51102301-003","ACICLOVIR","HABILITADO","2119","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","3 %","UNGUENTO OFTALMICO","POMO","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47102",
"MEDICAMENTO","51102301-004","ACICLOVIR (SAL SODICA)","DESHABILITADO","2120","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","250 MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47103",
